# 미국 4년제 에디터 노트 — id <TAB> 노트
# scripts\gen-us.ps1이 읽어 editor_note에 넣는다. universities-us.json은 생성물이니 직접 고치지 말 것.
# 톤 기준은 us-stony-brook 노트다. 상담사가 직접 말하는 어투, 짧은 문장 변주, 순위·학비 수치는 유지.
# 근거는 DB에 이미 있는 값(QS 순위·도시·학비·IELTS·제휴사·전공)만 쓴다. 없는 사실을 지어내지 말 것.
# 노트를 고치면 data\i18n-uni.json에 영어 번역도 같이 고칠 것 — 빌드가 누락을 알려준다.
us-mit	QS 세계 1위. 공학과 컴퓨터과학에서 기준점이 되는 학교입니다. 패스웨이도 편입도 사실상 닫혀 있어서 다이렉트 전형 하나로 승부해야 합니다. 영어는 IELTS 7.0부터입니다.
us-stanford	실리콘밸리 한복판이라 창업과 취업 연결이 학교 밖으로 이어집니다. QS 2위. 편입 정원이 극소수라 처음부터 다이렉트로 준비하는 수밖에 없습니다.
us-harvard	경제학과 정치학, 법학 쪽 이름값이 가장 큽니다. QS 5위. 영어가 IELTS 7.5로 높은 데다 내신 최상위에 에세이와 활동까지 갖춰야 하니, 준비 기간을 길게 잡으세요.
us-caltech	학부 정원이 천 명이 안 되는 소규모 이공계 학교입니다. QS 7위. 물리와 화학공학이 중심이고 인문·사회 전공은 없다시피 하니, 진로가 이공계로 굳어 있지 않으면 맞지 않습니다.
us-upenn	와튼 경영으로 이름이 났지만 간호학도 미국 최상위입니다. QS 15위. 학비는 연 6만 8천 달러대라 4년 총액을 먼저 계산해 보고 움직이는 게 좋습니다.
us-cornell	아이비리그 중 유일하게 호텔경영 단과대를 두고 있습니다. 농업과 건축도 강합니다. QS 16위, 영어는 IELTS 7.5. 호텔·외식으로 갈 학생이라면 아이비 중에서 여기부터 봅니다.
us-yale	정치학과 역사학, 법학이 중심입니다. 학부 규모가 작아 소규모 세미나 비중이 높습니다. QS 16위. 강의실에서 말을 많이 해야 하는 구조라 영어 준비를 여유 있게 하세요.
us-jhu	의학과 공중보건에서 세계 최상위로 꼽힙니다. 의예로 갈 학생이 목표로 삼는 학교이고 국제관계(SAIS)도 이름이 있습니다. QS 20위. 보건 계열로 방향이 잡힌 학생이라면 목록 맨 위에 둘 만합니다.
us-berkeley	주립대인데 학비가 연 5만 달러 선이라 같은 순위대 사립보다 낮습니다. QS 20위. 캘리포니아 CC 출신 편입생을 대규모로 뽑는 것도 이 학교 특징인데, TAG는 없어서 일반 편입으로 지원해야 합니다.
us-uchicago	경제학이 간판이고 학부 커리큘럼이 코어 중심으로 빡빡하게 짜여 있습니다. QS 24위, 학비는 연 7만 달러대. 전공 공부만 파고들 생각이면 코어 부담을 미리 알고 가세요.
us-princeton	학부 중심 대학이라 교수 대 학생 비율이 좋습니다. QS 27위. 경제학과 물리학, 국제관계가 강하고, 학부 4년을 밀도 있게 보내고 싶은 학생에게 맞는 구조입니다.
us-columbia	맨해튼에 있어 인턴 접근성이 좋고 저널리즘 대학원이 특히 유명합니다. QS 43위. 학비가 연 7만 1천 달러대로 이 목록에서 가장 비싸니 예산부터 확인하고 시작하세요.
us-northwestern	저널리즘(메딜)과 커뮤니케이션이 미국 최상위로 꼽힙니다. 시카고 북쪽 에번스턴에 있어 도심까지 멀지 않습니다. QS 45위. 미디어 쪽이면 종합 순위보다 이 학과 이름이 먼저 나옵니다.
us-ucla	QS 49위. 영화와 심리학이 강하고 학비는 주립대라 연 4만 9천 달러 선입니다. 편입 합격자의 93%가 캘리포니아 CC 출신이라, 신입으로 붙기 어려우면 2+2를 먼저 봅니다.
us-michigan	경영과 공학이 모두 최상위권인 대형 주립대입니다. QS 51위. 타주 CC 출신 편입도 받지만 경쟁이 세니, 편입으로 노린다면 학점 관리를 처음부터 빡빡하게 하세요.
us-cmu	컴퓨터과학과 로보틱스에서 세계 최상위입니다. 드라마와 디자인도 따로 이름이 있어 예술 쪽 지원자도 많습니다. QS 55위, 영어는 IELTS 7.5. 전공에 따라 준비물이 완전히 달라지는 학교입니다.
us-nyu	맨해튼 도심에 캠퍼스가 흩어져 있습니다. 티시 영화와 스턴 경영이 간판입니다. QS 58위. 편입생 선발 규모가 큰 편이라 CC를 거쳐 들어가는 것도 현실적인 방법입니다.
us-brown	필수 교양이 없는 오픈 커리큘럼으로 유명합니다. QS 66위. 전공을 스스로 설계하려는 학생에게 맞지만, 영어 요건이 IELTS 8.0으로 이 목록에서 가장 높다는 점은 감안하세요.
us-duke	경영과 생명과학이 강하고 노스캐롤라이나 리서치 트라이앵글 안에 있어 연구 인프라가 두텁습니다. QS 70위. 연구 경험을 학부 때부터 쌓고 싶다면 위치가 이점입니다.
us-ut-austin	공학과 컴퓨터과학이 강하고 학비도 연 4만 5천 달러 선으로 낮은 편입니다. QS 72위인데 영어 요건은 IELTS 6.0으로 이 순위대에서 가장 낮은 축입니다. 점수가 아직 낮을 때 노려볼 만합니다.
us-uiuc	컴퓨터과학과 전기전자공학이 미국 최상위권입니다. 학비가 연 3만 5천 달러대로 이 순위대에서 가장 쌉니다. QS 74위. 다만 영어가 IELTS 7.5라, 학비에서 아낀 만큼 시험 준비에 시간을 써야 합니다.
us-ucsd	이공계가 강한 UC이고 해양학은 스크립스 연구소가 있어 세계 최상위입니다. QS 81위. TAG는 없지만 CC 편입 규모가 커서 2+2 목적지로 인기가 높습니다.
us-uw	컴퓨터과학이 강하고 시애틀 테크 기업들과 가깝습니다. QS 92위, IELTS 6.0. 워싱턴주 CC에서 넘어오는 편입 경로가 잘 닦여 있고 벨뷰 칼리지 출신이 가장 많으니, 2+2를 생각한다면 출발점부터 같이 정하세요.
us-penn-state	공학 규모가 크고 학비는 연 4만 2천 달러 선입니다. QS 92위. 캠퍼스가 여러 곳이라 메인 캠퍼스(University Park)가 맞는지 지원서에서 반드시 확인하세요.
us-bu	보스턴 도심에 있고 커뮤니케이션과 경영이 중심입니다. QS 94위, 학비는 연 6만 8천 달러대. 도심 사립이라 학비와 생활비가 같이 올라가는 점을 계산에 넣으세요.
us-purdue	QS 100위인데 학비가 연 2만 8천 달러대로 이 순위대에서 압도적으로 쌉니다. 항공우주공학과 산업공학이 강합니다. 예산을 줄이면서 공대를 노린다면 먼저 봅니다.
us-rice	휴스턴에 있는 소규모 사립이고 공학과 음악이 강합니다. QS 122위. 학부 규모가 작아 수업이 작으니 교수와 가까이 붙어 공부하고 싶은 학생에게 맞습니다.
us-wisconsin	한 분야가 튀는 학교라기보다 경영·생명과학·농업이 고르게 강한 대형 주립대입니다. QS 131위, 학비는 연 4만 2천 달러 선. 전공을 아직 못 정한 학생이 폭을 넓게 두고 가기에 무난합니다.
us-uc-davis	농업과 수의학이 미국 최상위입니다. QS 137위. UC TAG 참여 캠퍼스라 캘리포니아 CC에서 조건을 채우면 편입 보장을 신청할 수 있으니, 2+2를 생각한다면 안전한 목적지입니다.
us-georgia-tech	QS 142위, IELTS 6.0. 기계공학과 산업공학이 미국 최상위인데 학비는 연 3만 4천 달러대입니다. 공대 지망생에게 가성비가 가장 좋은 축입니다.
us-usc	영화학교가 미국 최고로 꼽히고 LA에 있어 업계 연결이 가깝습니다. QS 153위. 학비가 연 7만 2천 달러대로 높으니, 영화 쪽이 아니라면 같은 값을 어디에 쓸지 한 번 더 따져 보세요.
us-unc	저널리즘과 공중보건이 강한 주립 명문입니다. QS 158위, 학비는 연 4만 1천 달러 선. 영어가 IELTS 7.5로 높아서, 주립이라고 요건까지 무난하다고 생각하면 안 됩니다.
us-washu	의예와 건축이 강하고 세인트루이스는 대도시 중 생활비가 낮은 편입니다. QS 162위. 사립 학비를 생활비에서 조금이라도 덜고 싶을 때 나오는 조합입니다.
us-texas-am	공학과 농업, 수의학이 강하고 학비는 연 4만 달러 선입니다. QS 169위, IELTS 6.0. 캠퍼스 규모가 미국에서 가장 큰 축이라 학교 안에서 이동하는 것부터 적응이 필요합니다.
us-asu	US News가 뽑는 '가장 혁신적인 대학' 1위를 여러 해 지켜온 학교입니다. 이 목록의 패스웨이 제휴교 중에서 QS 순위가 가장 높으면서 영어 요건은 IELTS 6.0으로 낮은 편이라, 조건부로 가려는 학생이 먼저 봅니다.
us-ucsb	바닷가 캠퍼스이고 물리학과 해양학이 강합니다. QS 173위. UC TAG 참여 캠퍼스라 캘리포니아 CC에서 조건을 채우면 편입 보장을 신청할 수 있어, UC 중에서는 경로가 분명한 편입니다.
us-michigan-state	교육학이 이 학교의 이름값입니다. 농업도 같이 강합니다. QS 182위, 학비 연 4만 4천 달러 선. 사범 쪽 진로를 미국에서 이어갈 생각이면 목록에 넣어 두세요.
us-emory	애틀랜타에 있고 CDC 본부가 옆이라 공중보건 연구가 두텁습니다. 간호학도 강합니다. QS 183위, 영어는 IELTS 7.5. 보건 쪽으로 방향이 잡혔다면 위치 자체가 이유가 됩니다.
us-florida	학비가 연 2만 8천 달러대로 이 순위대에서 가장 쌉니다. 공학과 농업이 강합니다. QS 228위, IELTS 6.0. 학비와 영어 요건이 둘 다 낮은 조합이라 예산이 빠듯할 때 먼저 봅니다.
us-rochester	QS 251위. 이스트만 음대와 광공학이 간판입니다. 음악으로 갈 학생이라면 종합 순위와 별개로 봐야 하는 학교입니다.
us-maryland	워싱턴 D.C. 근교라 정부·연구기관 인턴이 가깝습니다. 컴퓨터과학과 저널리즘이 강합니다. QS 252위. 학기 중에 인턴을 병행할 생각이면 위치가 실질적인 이점이 됩니다.
us-uc-irvine	컴퓨터과학과 생명과학이 강합니다. QS 252위. UC TAG 참여 캠퍼스이고 어바인밸리 등 인근 CC에서 넘어오는 경로가 자리를 잡아서, 2+2로 UC를 노린다면 확률이 높은 편입니다.
us-minnesota	미니애폴리스 도심 캠퍼스이고 경영과 공학 규모가 큽니다. QS 255위, 학비는 연 3만 8천 달러 선. 도심에 있으면서 이 학비면 이 순위대에서 조건이 좋은 편입니다.
us-umass-amherst	컴퓨터과학이 강하고 호텔경영 과정도 오래됐습니다. 보스턴에서 서쪽으로 두 시간 거리라 생활비가 낮습니다. QS 260위. 보스턴 학교들을 보다가 예산에서 막혔다면 대안이 됩니다.
us-vanderbilt	교육학(피바디)이 미국 최상위이고 내슈빌이라 음악 쪽 연계도 있습니다. QS 265위, 학비는 연 6만 7천 달러대. 사범이나 교육 정책으로 방향이 잡혔다면 값을 하는 학교입니다.
us-uva	주립인데 사립 못지않은 평판을 가진 학교로 꼽힙니다. 경영과 정치학이 강합니다. QS 268위. 다만 학비가 연 6만 달러 선이라 주립이라고 저렴하지는 않습니다.
